Price,Confidence Interval,Timestamp
3023.8749000000003,1.73265,2022-02-05 15:02:06.354603
3023.8749000000003,1.73265,2022-02-05 15:02:06.550370
3023.8749000000003,1.73265,2022-02-05 15:02:06.746523
3023.8771,1.4209,2022-02-05 15:02:06.936809
3023.8771,1.4209,2022-02-05 15:02:07.132402
3023.8774,1.7385,2022-02-05 15:02:07.331271
3023.8774,1.7385,2022-02-05 15:02:07.535480
3023.8774,1.7385,2022-02-05 15:02:07.733551
3023.8774,1.7385,2022-02-05 15:02:07.931836
3023.8774,1.7385,2022-02-05 15:02:08.135212
3023.8774,1.7385,2022-02-05 15:02:08.332729
3023.8774,1.7385,2022-02-05 15:02:08.535212
3023.8774,1.7385,2022-02-05 15:02:08.733258
3023.8774,1.7385,2022-02-05 15:02:08.938206
3023.8701,1.5965500000000001,2022-02-05 15:02:09.139929
3023.8701,1.5965500000000001,2022-02-05 15:02:09.333059
3023.8701,1.5965500000000001,2022-02-05 15:02:09.534793
3023.8701,1.5965500000000001,2022-02-05 15:02:09.733075
3023.8701,1.5965500000000001,2022-02-05 15:02:09.935144
3023.8701,1.5965500000000001,2022-02-05 15:02:10.136521
3023.8794000000003,1.4256,2022-02-05 15:02:10.336598
3023.8794000000003,1.4256,2022-02-05 15:02:10.531756
3023.8798,1.7443,2022-02-05 15:02:10.732208
3023.8798,1.7443,2022-02-05 15:02:10.928326
3023.8798,1.7443,2022-02-05 15:02:11.126106
3023.9663,1.92495,2022-02-05 15:02:11.328462
3023.9663,1.92495,2022-02-05 15:02:11.534342
3023.9663,1.92495,2022-02-05 15:02:11.733604
3023.9589,2.3615500000000003,2022-02-05 15:02:11.935216
3023.9589,2.3615500000000003,2022-02-05 15:02:12.136644
3024.0049,1.98895,2022-02-05 15:02:12.335491
3024.0164,1.83765,2022-02-05 15:02:12.540148
3024.0164,1.83765,2022-02-05 15:02:12.743416
3024.0164,1.83765,2022-02-05 15:02:12.938347
3024.0164,1.83765,2022-02-05 15:02:13.134974
3024.0152000000003,1.5023,2022-02-05 15:02:13.330993
3024.0152000000003,1.5023,2022-02-05 15:02:13.530467
3024.0152000000003,1.5023,2022-02-05 15:02:13.729864
3023.8361,2.7773,2022-02-05 15:02:13.938961
3023.8361,2.7773,2022-02-05 15:02:14.136253
3023.8361,2.7773,2022-02-05 15:02:14.329551
3023.8361,2.7773,2022-02-05 15:02:14.525481
3023.8361,2.7773,2022-02-05 15:02:14.723308
3023.8875000000003,3.13425,2022-02-05 15:02:14.920042
3023.8875000000003,3.13425,2022-02-05 15:02:15.128616
3023.8875000000003,3.13425,2022-02-05 15:02:15.328086
3023.6392,2.4511,2022-02-05 15:02:15.528039
3023.7205,2.07795,2022-02-05 15:02:15.729783
3023.7205,2.07795,2022-02-05 15:02:15.928799
3023.7205,2.07795,2022-02-05 15:02:16.127582
3023.7156,2.3192,2022-02-05 15:02:16.322917
3023.7156,2.3192,2022-02-05 15:02:16.518938
3023.5462,2.80045,2022-02-05 15:02:16.720137
3023.6528,2.4123,2022-02-05 15:02:16.918219
3023.6528,2.4123,2022-02-05 15:02:17.109670
3023.6528,2.4123,2022-02-05 15:02:17.313931
3023.6528,2.4123,2022-02-05 15:02:17.510528
3023.6528,2.4123,2022-02-05 15:02:17.705366
3023.6528,2.4123,2022-02-05 15:02:17.896118
3023.7926,2.64695,2022-02-05 15:02:18.098441
3023.7926,2.64695,2022-02-05 15:02:18.304581
3023.7926,2.64695,2022-02-05 15:02:18.507717
3023.9177,1.7557,2022-02-05 15:02:18.706112
3023.9177,1.7557,2022-02-05 15:02:18.907252
3023.9177,1.7557,2022-02-05 15:02:19.111560
3023.9177,1.7557,2022-02-05 15:02:19.310016
3023.9177,1.7557,2022-02-05 15:02:19.503545
3023.9218,2.0854500000000002,2022-02-05 15:02:19.700270
3023.9473000000003,1.90225,2022-02-05 15:02:19.902351
3023.9473000000003,1.90225,2022-02-05 15:02:20.246310
3023.9473000000003,1.90225,2022-02-05 15:02:20.530511
3023.9473000000003,1.90225,2022-02-05 15:02:20.799871
3023.9473000000003,1.90225,2022-02-05 15:02:21.000599
3023.9473000000003,1.90225,2022-02-05 15:02:21.337098
3023.9886,1.9593,2022-02-05 15:02:21.534510
3024.0002,1.8104500000000001,2022-02-05 15:02:21.852066
3024.0002,1.8104500000000001,2022-02-05 15:02:22.048154
3024.0002,1.8104500000000001,2022-02-05 15:02:22.250649
3024.0002,1.8104500000000001,2022-02-05 15:02:22.584198
3024.2222,2.0645000000000002,2022-02-05 15:02:22.906376
3024.2239,2.067,2022-02-05 15:02:23.106271
3024.2239,2.067,2022-02-05 15:02:23.303233
3023.8649,2.02415,2022-02-05 15:02:23.625686
3023.8649,2.02415,2022-02-05 15:02:23.816779
3023.8649,2.02415,2022-02-05 15:02:24.139016
3023.8649,2.02415,2022-02-05 15:02:24.338304
3023.8649,2.02415,2022-02-05 15:02:24.548147
3023.8649,2.02415,2022-02-05 15:02:24.754562
3023.8649,2.02415,2022-02-05 15:02:24.950810
3023.8649,2.02415,2022-02-05 15:02:25.170290
3023.8649,2.02415,2022-02-05 15:02:25.377193
3023.8649,2.02415,2022-02-05 15:02:25.576855
3023.8649,2.02415,2022-02-05 15:02:25.777699
3023.8649,2.02415,2022-02-05 15:02:25.978661
3023.8649,2.02415,2022-02-05 15:02:26.177849
3023.8649,2.02415,2022-02-05 15:02:26.375814
3024.1505,3.8112,2022-02-05 15:02:26.597679
3023.9957,3.2800000000000002,2022-02-05 15:02:26.802328
3023.9957,3.2800000000000002,2022-02-05 15:02:27.001451
3023.9957,3.2800000000000002,2022-02-05 15:02:27.197887
3023.9959,3.4394,2022-02-05 15:02:27.396245
3023.975,1.64255,2022-02-05 15:02:27.600132
3023.975,1.64255,2022-02-05 15:02:27.794797
