Price,Confidence Interval,Timestamp
3018.7949,1.2494,2022-02-05 15:06:44.181501
3018.7949,1.53025,2022-02-05 15:06:44.370729
3018.7949,1.53025,2022-02-05 15:06:44.555415
3019.1338,1.82525,2022-02-05 15:06:44.738794
3019.1338,1.82525,2022-02-05 15:06:44.923992
3019.1338,1.82525,2022-02-05 15:06:45.116200
3019.1136,1.6911,2022-02-05 15:06:45.301225
3019.1136,1.6911,2022-02-05 15:06:45.493473
3019.3777,2.52835,2022-02-05 15:06:45.683740
3019.3777,2.52835,2022-02-05 15:06:45.879403
3019.3777,2.52835,2022-02-05 15:06:46.483538
3019.3522000000003,2.7288,2022-02-05 15:06:46.675771
3019.3522000000003,2.7288,2022-02-05 15:06:46.862482
3019.3551,2.7237,2022-02-05 15:06:47.046248
3019.3807,2.52365,2022-02-05 15:06:47.236255
3019.3807,2.52365,2022-02-05 15:06:47.426139
3019.398,2.21245,2022-02-05 15:06:47.619196
3019.398,2.21245,2022-02-05 15:06:47.818386
3019.4384,2.43175,2022-02-05 15:06:48.010329
3019.4384,2.43175,2022-02-05 15:06:48.195391
3019.4384,2.43175,2022-02-05 15:06:48.390325
3019.4384,2.43175,2022-02-05 15:06:48.581898
3019.3964,2.208,2022-02-05 15:06:48.769552
3019.4367,2.4266,2022-02-05 15:06:48.959971
3019.4367,2.4266,2022-02-05 15:06:49.160283
3019.6007,2.10245,2022-02-05 15:06:49.349794
3019.6007,2.10245,2022-02-05 15:06:49.542056
3019.4516,2.2376,2022-02-05 15:06:49.735645
3019.4516,2.2376,2022-02-05 15:06:49.925871
3019.4516,2.2376,2022-02-05 15:06:50.117857
3019.4516,2.2376,2022-02-05 15:06:50.306970
3019.4177,2.0380000000000003,2022-02-05 15:06:50.490926
3019.4177,2.0380000000000003,2022-02-05 15:06:50.680193
3019.4177,2.0380000000000003,2022-02-05 15:06:50.872434
3019.4177,2.0380000000000003,2022-02-05 15:06:51.080743
3019.5142,2.4677000000000002,2022-02-05 15:06:51.275424
3019.5142,2.4677000000000002,2022-02-05 15:06:51.468889
3019.5142,2.4677000000000002,2022-02-05 15:06:51.669057
3019.5142,2.4677000000000002,2022-02-05 15:06:51.860643
3019.5142,2.4677000000000002,2022-02-05 15:06:52.049056
3019.4878,2.3143000000000002,2022-02-05 15:06:52.241561
3019.4878,2.3143000000000002,2022-02-05 15:06:52.429460
3019.4878,2.3143000000000002,2022-02-05 15:06:52.622936
3019.4987,2.1639500000000003,2022-02-05 15:06:52.814322
3019.4987,2.1639500000000003,2022-02-05 15:06:52.999419
3019.529,2.297,2022-02-05 15:06:53.187481
3019.529,2.297,2022-02-05 15:06:53.370482
3019.4788,2.3325,2022-02-05 15:06:53.555025
3019.5051,2.1536,2022-02-05 15:06:53.756893
3019.5051,2.1536,2022-02-05 15:06:53.940341
3019.5051,2.1536,2022-02-05 15:06:54.130297
3019.5051,2.1536,2022-02-05 15:06:54.318356
3019.5051,2.1536,2022-02-05 15:06:54.507783
3019.5051,2.1536,2022-02-05 15:06:54.699106
3019.5051,2.1536,2022-02-05 15:06:54.893967
3019.5051,2.1536,2022-02-05 15:06:55.091089
3019.5051,2.1536,2022-02-05 15:06:55.271099
3019.5051,2.1536,2022-02-05 15:06:55.465484
3019.5051,2.1536,2022-02-05 15:06:55.651229
3019.5051,2.1536,2022-02-05 15:06:55.837803
3019.6330000000003,3.1305,2022-02-05 15:06:56.032005
3019.6330000000003,3.1305,2022-02-05 15:06:56.219726
3019.5522,2.1406,2022-02-05 15:06:56.403240
3019.6130000000003,1.72995,2022-02-05 15:06:56.594606
3019.6130000000003,1.72995,2022-02-05 15:06:56.780885
3019.6130000000003,1.72995,2022-02-05 15:06:56.969329
3019.6130000000003,1.72995,2022-02-05 15:06:57.160316
3019.6130000000003,1.72995,2022-02-05 15:06:57.352348
3019.6130000000003,1.72995,2022-02-05 15:06:57.543875
3019.6429000000003,1.5482,2022-02-05 15:06:57.728555
3019.6429000000003,1.5482,2022-02-05 15:06:57.916336
3019.6456000000003,1.8934,2022-02-05 15:06:58.118695
3019.6456000000003,1.8934,2022-02-05 15:06:58.307546
3019.6456000000003,1.8934,2022-02-05 15:06:58.497275
3019.6456000000003,1.8934,2022-02-05 15:06:58.683806
3019.6456000000003,1.8934,2022-02-05 15:06:58.882801
3019.6456000000003,1.8934,2022-02-05 15:06:59.073943
